sample_index,time_s,detection_period,vehicle_x_m,vehicle_y_m,obstacle_x_m,obstacle_y_m,target_x_m,target_y_m,geometric_relative_distance_m,relative_distance_m,safety_distance_m,speed_m_s,velocity_heading_angle_deg
0,0.0000,1,16.0000,2.3900,11.0000,3.5800,0.0000,2.3900,5.1397,5.1397,1.0000,0.0000,0.0000
1,0.1019,1,15.9103,2.3900,11.0000,3.5801,0.0000,2.3900,5.0524,5.0538,1.0000,0.0380,-0.0942
2,0.2038,1,15.8206,2.3903,11.0000,3.5804,0.0000,2.3900,4.9653,4.9702,1.0000,0.1386,-0.1840
3,0.3057,2,15.7309,2.3907,11.0000,3.5809,0.0000,2.3900,4.8783,4.8862,1.0000,0.2808,-0.2709
4,0.4076,2,15.6412,2.3910,11.0000,3.5817,0.0000,2.3900,4.7915,4.8005,1.0000,0.4428,-0.3527
5,0.5095,2,15.5515,2.3907,11.0000,3.5826,0.0000,2.3900,4.7050,4.7147,1.0000,0.6035,-0.4313
6,0.6115,2,15.4618,2.3901,11.0000,3.5837,0.0000,2.3900,4.6187,4.6324,1.0000,0.7429,-0.5050
7,0.7134,3,15.3721,2.3894,11.0000,3.5849,0.0000,2.3900,4.5326,4.5553,1.0000,0.8420,-0.5755
8,0.8153,3,15.2824,2.3893,11.0000,3.5861,0.0000,2.3900,4.4465,4.4808,1.0000,0.8822,-0.6411
9,0.9172,3,15.1927,2.3897,11.0000,3.5872,0.0000,2.3900,4.3604,4.4016,1.0000,0.8833,-0.7033
10,1.0191,3,15.1030,2.3902,11.0000,3.5883,0.0000,2.3900,4.2743,4.3102,1.0000,0.8860,-0.7608
11,1.1210,4,15.0133,2.3899,11.0000,3.5892,0.0000,2.3900,4.1886,4.2044,1.0000,0.8897,-0.8149
12,1.2229,4,14.9236,2.3877,11.0000,3.5899,0.0000,2.3900,4.1036,4.0898,1.0000,0.8932,-0.8643
13,1.3248,4,14.8339,2.3830,11.0000,3.5904,0.0000,2.3900,4.0195,3.9748,1.0000,0.8953,-0.9101
14,1.4267,4,14.7442,2.3762,11.0000,3.5905,0.0000,2.3900,3.9362,3.8678,1.0000,0.8950,-0.9515
15,1.5286,5,14.6545,2.3686,11.0000,3.5903,0.0000,2.3900,3.8533,3.7750,1.0000,0.8918,-0.9891
16,1.6306,5,14.5648,2.3616,11.0000,3.5897,0.0000,2.3900,3.7704,3.6976,1.0000,0.8855,-1.0225
17,1.7325,5,14.4751,2.3566,11.0000,3.5887,0.0000,2.3900,3.6871,3.6321,1.0000,0.8767,-1.0519
18,1.8344,5,14.3854,2.3542,11.0000,3.5873,0.0000,2.3900,3.6030,3.5709,1.0000,0.8664,-1.0771
19,1.9363,6,14.2958,2.3545,11.0000,3.5856,0.0000,2.3900,3.5182,3.5063,1.0000,0.8560,-1.0983
20,2.0382,6,14.2061,2.3568,11.0000,3.5836,0.0000,2.3900,3.4328,3.4326,1.0000,0.8469,-1.1155
21,2.1401,6,14.1164,2.3598,11.0000,3.5813,0.0000,2.3900,3.3472,3.3490,1.0000,0.8403,-1.1285
22,2.2420,6,14.0267,2.3623,11.0000,3.5788,0.0000,2.3900,3.2620,3.2593,1.0000,0.8370,-1.1360
23,2.3439,7,13.9370,2.3634,11.0000,3.5762,0.0000,2.3900,3.1776,3.1704,1.0000,0.8371,-1.1281
24,2.4458,7,13.8473,2.3628,11.0000,3.5736,0.0000,2.3900,3.0940,3.0888,1.0000,0.8403,-1.1076
