detection_period,time_s,relative_distance_m,safety_distance_m
1,0.0000,5.1397,1.0000
2,0.4076,4.8005,1.0000
3,0.8153,4.4808,1.0000
4,1.2229,4.0898,1.0000
5,1.6306,3.6976,1.0000
6,2.0382,3.4326,1.0000
7,2.4458,3.0888,1.0000
8,2.8535,2.8374,1.0000
9,3.3630,2.3520,1.0000
10,3.7707,2.0391,1.0000
11,4.1783,1.7488,1.0000
12,4.5859,1.5045,1.0000
13,4.9936,1.4302,1.0000
14,5.4012,1.3889,1.0000
15,5.8088,1.3916,1.0000
16,6.2165,1.2668,1.0000
17,6.6241,1.3692,1.0000
18,7.0318,1.6405,1.0000
19,7.4394,1.8887,1.0000
20,7.8470,2.2343,1.0000
21,8.2547,2.4571,1.0000
22,8.6623,2.7474,1.0000
23,9.1719,3.1696,1.0000
24,9.5795,3.5485,1.0000
25,9.9871,3.9566,1.0000
26,10.3948,4.2288,1.0000
27,10.8024,4.5767,1.0000
28,11.2100,4.8520,1.0000
29,11.6177,5.2426,1.0000
30,12.0253,5.6608,1.0000
31,12.4330,6.0053,1.0000
32,12.8406,6.3898,1.0000
33,13.2482,6.6357,1.0000
34,13.6559,7.0026,1.0000
35,14.0635,7.3731,1.0000
36,14.4711,7.7629,1.0000
37,14.8788,8.1887,1.0000
38,15.3883,8.5353,1.0000
39,15.7960,8.8972,1.0000
40,16.2036,9.1879,1.0000
41,16.6112,9.6248,1.0000
42,17.0189,10.0218,1.0000
43,17.4265,10.3580,1.0000
44,17.8342,10.7010,1.0000
45,18.2418,11.0481,1.0000
