key,value
source_detection_image,figures/chapter05/避障能力测试_2.jpg
primary_trajectory_image,figures/chapter05/避障能力测试_5.jpg
source_trajectory_images,figures/chapter05/避障能力测试_4.jpg;figures/chapter05/避障能力测试_5.jpg;figures/chapter05/避障能力测试_6.jpg
person_box_min_x_px,57
person_box_min_y_px,0
person_box_max_x_px,149
person_box_max_y_px,186
person_box_width_px,93
person_box_height_px,187
person_depth_reference_m,5.84
person_height_reference_m,2.04
trajectory_start_x_px,15
trajectory_end_x_px,268
trajectory_obstacle_center_x_px,275.50
trajectory_obstacle_center_y_px,117.50
trajectory_avoidance_amplitude_m,0.24
trajectory_time_direction,right_to_left_from_source_image
trajectory_avoidance_direction,negative_y_from_source_image_downward_bend
obstacle_entry_x_m,11.0
route_length_m,16.0
obstacle_distance_from_start_m,5.0
obstacle_x_m,11.0
obstacle_start_x_m,11.0
obstacle_start_y_m,3.58
obstacle_end_x_m,11.0
obstacle_end_y_m,3.42
geometric_distance_definition,euclidean_distance_between_reconstructed_vehicle_and_obstacle_positions
distance_definition,geometric_distance_plus_deterministic_low_amplitude_ranging_jitter_for_plotted_detection_distance
heading_definition,"atan2(dy_dt, -dx_dt), relative to right-to-left travel direction"
nominal_average_speed_mps,0.88
speed_definition,trajectory_speed_scaled_to_nominal_average_with_proximity_slowdown_near_obstacle
distance_plot_x_axis,time_s
sample_count,180
detection_period_count,45
safety_distance_m,1.0
warning_distance_m,1.8
target_x_m,0.0
target_y_m,2.39
note,"image-derived refined reconstruction, not raw sensor log"
